segment_id,family_id,class_id,producto,nombre_producto
1,5,19,10141603,Bocados para caballos                                                                                                                                                                                                                                           
1,5,19,10141604,Riendas                                                                                                                                                                                                                                                         
1,5,19,10141605,Estribos                                                                                                                                                                                                                                                        
1,5,19,10141606,Correas o traíllas                                                                                                                                                                                                                                              
1,5,19,10141607,Arneses de cuello para animales                                                                                                                                                                                                                                 
1,5,19,10141608,Arneses o sus accesorios                                                                                                                                                                                                                                        
1,5,19,10141609,Sujetadores                                                                                                                                                                                                                                                     
1,5,19,10141610,Bozales                                                                                                                                                                                                                                                         
1,5,19,10141611,Soportes para correas                                                                                                                                                                                                                                           
1,6,20,10151501,Semillas o plántulas de fríjol                                                                                                                                                                                                                                  
1,6,20,10151502,Semillas o plántulas de zanahoria                                                                                                                                                                                                                               
1,6,20,10151503,Semillas o plántulas de apio                                                                                                                                                                                                                                    
1,6,20,10151504,Semillas o plántulas de chiles                                                                                                                                                                                                                                  
1,6,20,10151505,Semillas o plántulas de calabacín                                                                                                                                                                                                                               
1,6,20,10151506,Semillas o plántulas de alverja                                                                                                                                                                                                                                 
1,6,20,10151507,Semillas o plántulas de pepino cohombro                                                                                                                                                                                                                         
1,6,20,10151508,Semillas o plántulas de berenjena                                                                                                                                                                                                                               
1,6,20,10151509,Semillas o plántulas de endivias                                                                                                                                                                                                                                
1,6,20,10151510,Semillas o plántulas de ajo                                                                                                                                                                                                                                     
1,6,20,10151511,Semillas o plántulas de puerro                                                                                                                                                                                                                                  
1,6,20,10151512,Semillas o plántulas de lechuga                                                                                                                                                                                                                                 
1,6,20,10151513,Semillas o plántulas de maíz                                                                                                                                                                                                                                    
1,6,20,10151514,Semillas o plántulas de melón                                                                                                                                                                                                                                   
1,6,20,10151515,Semillas o plántulas cebolla                                                                                                                                                                                                                                    
1,6,20,10151516,Semillas o plántulas de soya                                                                                                                                                                                                                                    
1,6,20,10151517,Semillas o plántulas de espinaca                                                                                                                                                                                                                                
1,6,20,10151518,Semillas o plántulas de tomate                                                                                                                                                                                                                                  
1,6,20,10151519,Semillas o plántulas de nabo                                                                                                                                                                                                                                    
1,6,20,10151520,Semillas o plántulas de acelga                                                                                                                                                                                                                                  
1,6,20,10151521,Semillas o plántulas de pimiento morrón                                                                                                                                                                                                                         
1,6,20,10151522,Semillas o plántulas de remolacha                                                                                                                                                                                                                               
1,6,20,10151523,Semillas o plántulas de coliflor                                                                                                                                                                                                                                
1,6,20,10151524,Semillas o plántulas de perejil                                                                                                                                                                                                                                 
1,6,20,10151525,Semillas o plántulas de brócoli                                                                                                                                                                                                                                 
1,6,20,10151526,Semillas o plántulas de repollo                                                                                                                                                                                                                                 
1,6,20,10151527,Semillas o plántulas de papa                                                                                                                                                                                                                                    
1,6,20,10151528,Semillas o plántulas de batata                                                                                                                                                                                                                                  
1,6,20,10151529,Semillas o plántulas de calabaza                                                                                                                                                                                                                                
1,6,20,10151530,Semillas o plántulas de rábano                                                                                                                                                                                                                                  
1,6,20,10151531,Semillas o plántulas de repollitos de bruselas                                                                                                                                                                                                                  
1,6,20,10151532,Semillas o plántulas de ahuyama                                                                                                                                                                                                                                 
1,6,20,10151533,Semillas o plántulas de okra                                                                                                                                                                                                                                    
1,6,20,10151534,Semillas o plántulas de melón cantalupo                                                                                                                                                                                                                         
1,6,20,10151535,Semillas o plántulas de maní                                                                                                                                                                                                                                    
1,6,20,10151536,Semillas o plántulas de caigua                                                                                                                                                                                                                                  
1,6,20,10151537,Semillas o plántulas de espárrago                                                                                                                                                                                                                               
1,6,20,10151538,Semillas o plántulas de garbanzo                                                                                                                                                                                                                                
1,6,20,10151539,Semillas o plántulas de haba                                                                                                                                                                                                                                    
1,6,21,10151601,Semillas de trigo                                                                                                                                                                                                                                               
1,6,21,10151602,Semillas de canola                                                                                                                                                                                                                                              
1,6,21,10151603,Semillas de cebada                                                                                                                                                                                                                                              
1,6,21,10151604,Semillas de mijo                                                                                                                                                                                                                                                
1,6,21,10151605,Semillas de avena                                                                                                                                                                                                                                               
1,6,21,10151606,Semillas de ajonjolí                                                                                                                                                                                                                                            
1,6,21,10151607,Semillas de linaza                                                                                                                                                                                                                                              
1,6,21,10151608,Semillas de aceite de ricino                                                                                                                                                                                                                                    
1,6,21,10151609,Semillas de maíz                                                                                                                                                                                                                                                
1,6,21,10151610,Semillas de centeno                                                                                                                                                                                                                                             
1,6,21,10151611,Semillas de sorgo                                                                                                                                                                                                                                               
1,6,21,10151612,Semillas o plántulas de kiwicha                                                                                                                                                                                                                                 
1,6,21,10151613,Semillas o plántulas de quínoa                                                                                                                                                                                                                                  
1,6,22,10151701,Semillas o plántulas de arroz                                                                                                                                                                                                                                   
1,6,22,10151702,Semillas o plántulas de trébol                                                                                                                                                                                                                                  
1,6,22,10151703,Semillas o plántulas de alfalfa                                                                                                                                                                                                                                 
1,6,22,10151704,Semillas o plántulas de pasto                                                                                                                                                                                                                                   
1,6,22,10151705,Semillas o plántulas de veza (gachas / guija)                                                                                                                                                                                                                   
1,6,22,10151706,Semillas o plántulas de guar                                                                                                                                                                                                                                    
1,6,23,10151801,Semillas o plántulas de pimienta                                                                                                                                                                                                                                
1,6,23,10151802,Semillas o plántulas de vainilla                                                                                                                                                                                                                                
1,6,23,10151803,Semillas o plántulas de canela                                                                                                                                                                                                                                  
1,6,23,10151804,Semillas o plántulas de clavo de olor                                                                                                                                                                                                                           
1,6,23,10151805,Semillas o plántulas de cilantro                                                                                                                                                                                                                                
1,6,23,10151806,Semillas o plántulas de jengibre                                                                                                                                                                                                                                
